Origin,Destination,FTE shifted,Haversine distance miles,Total officer-miles
Metropolitan Police,West Yorkshire,4304,167.78324974686237,722139.1069104957
Metropolitan Police,South Yorkshire,1928,144.0431324778804,277715.1594173534
Metropolitan Police,Avon & Somerset,2266,110.76334525408525,250989.7403457572
Metropolitan Police,Hampshire,2470,61.28419166329687,151371.95340834328
Metropolitan Police,Derbyshire,1139,119.89815399836115,136563.99740413335
Metropolitan Police,Nottinghamshire,852,114.55137157552927,97597.76858235094
Metropolitan Police,Devon & Cornwall,479,186.9245817439756,89536.87465536431
Metropolitan Police,Durham,285,228.78059541461275,65202.46969316463
Metropolitan Police,Cleveland,287,217.2588111752696,62353.27880730238
Lancashire,Northumbria,640,94.46641206519907,60458.5037217274
Metropolitan Police,Cambridgeshire,942,62.09798298639607,58496.299973185094
Metropolitan Police,Sussex,1251,43.09575931515164,53912.794903254704
Merseyside,Northumbria,385,121.35919284052781,46723.289243603205
Metropolitan Police,Staffordshire,342,124.77573546140027,42673.301527798896
Merseyside,Durham,386,103.84673324428769,40084.83903229505
Dorset,Devon & Cornwall,429,92.56372398606521,39709.837590021976
Thames Valley,West Mercia,430,79.5063615145913,34187.73545127426
Metropolitan Police,West Mercia,287,114.31466481169522,32808.30880095653
Metropolitan Police,Warwickshire,340,84.43890718351658,28709.228442395637
City of London,Kent,716,38.013371273823815,27217.573832057853
Bedfordshire,West Yorkshire,194,131.80576967205408,25570.319316378493
West Midlands,Staffordshire,929,27.367316123993326,25424.236679189802
Essex,Norfolk,287,70.28880987381197,20172.888433784035
Metropolitan Police,Northamptonshire,299,62.232533361851495,18607.527475193598
Thames Valley,Gloucestershire,328,55.68142390954917,18263.507042332127
Hertfordshire,South Yorkshire,95,125.11439278499522,11885.867314574545
Essex,Suffolk,269,41.34383053267753,11121.490413290256
Wiltshire,Avon & Somerset,262,33.26273664633161,8714.837001338881
Merseyside,Cumbria,104,77.67660255897876,8078.366666133791
Humberside,Cleveland,112,69.90201577636113,7829.025766952446
Metropolitan Police,Leicestershire,79,90.09283315738573,7117.333819433472
Merseyside,Cheshire,359,18.318510469849823,6576.345258676087
Essex,Kent,174,27.71041533764634,4821.612268750463
Metropolitan Police,Surrey,181,19.61737889115082,3550.7455792982987
Metropolitan Police,Lincolnshire,17,109.99747661516619,1869.9571024578254
Metropolitan Police,North Yorkshire,9,182.44803776493092,1642.0323398843782
Metropolitan Police,Kent,37,39.09721468464296,1446.5969433317894
